"ID","XCOO","YCOO","ELEV","COUN","ASP","LOWDB","LITO","GENLAN","Ag","Al","Al_XRF","Al2O3","As","Au","B","Ba","Be","Bi","Br_IC","Ca","Ca_XRF","CaO","Cd","Cl_IC","Co","Cr","Cu","EC","F_IC","Fe","Fe_XRF","Fe2O3","Hg","K","K_XRF","K2O","La","Li","LOI","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Na","Na_XRF","Na2O","Ni","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","S","Sb","Sc","Se","Si","Si_XRF","SiO2","SO4_IC","Sr","Te","Th","Ti","Ti_XRF","TiO2","V","Y","Zn"
351,647829,7520000,120,"RUS","SW",15,1,"RIDGE",0.01,12800,63000,13.49,0.75,0.382,1.5,13.9,0.19,0.052,0.001,1270,20900,2.93,0.018,0.003251,2.9,30,4.4,0.62,0.0005,12400,23700,3.4,0.03,450,12700,1.53,6.1,8.7,6.53,1570,7900,1.32,54.2,300,0.04,0.4,100,26400,3.56,11.5,0.002142,609,560,0.13,2.24,0.644,5.2,0.002,2.55,118,0.005,1.4,0.092,144,311800,66.72,8.712,7.2,0.0015,1.5,529,1910,0.32,25.4,2,18.2
352,518792,7770000,160,"FIN","NE",20,51,"PLAIN",0.016,16100,64500,13.81,1.01,0.465,1.5,18.7,0.17,0.012,0.001,2330,22900,3.21,0.023,0.003107,3.2,20.6,5.7,0.55,0.0005,21300,35100,5.02,0.03,350,7500,0.91,6.7,3.6,7.72,2070,8100,1.35,116,540,0.07,0.4,190,24200,3.27,4.2,0.001131,456,430,0.1,1.66,1.262,5.4,0.002,2.983,116,0.005,3.5,0.191,216,296700,63.48,9.141,8.5,0.008,4,471,1790,0.3,30,3.9,15.5
353,543432,7540000,250,"FIN","S",35,105,"PLAIN",0.013,16800,62300,13.34,0.93,0.285,1.5,27,0.22,0.028,0.001,390,10300,1.45,0.023,0.002955,5.1,30.4,6.7,0.44,0.0005,15900,38600,5.53,0.03,370,20500,2.47,11.8,5.1,2.87,1540,10400,1.73,82.6,460,0.06,0.4,50,13300,1.8,13.8,0.0005,189,210,0.05,3.26,0.774,5.4,0.002,2.579,74,0.02,2.3,0.094,149,321300,68.75,8.279,2.5,0.004,9,708,4610,0.77,29,2.9,31.5
354,414050,7620000,380,"NOR","E",16,51,"PLAIN",0.029,14900,58500,12.53,0.66,0.509,1.5,15.7,0.24,0.046,0.001,1970,27200,3.81,0.022,0.002261,7.8,98.6,18.3,0.49,0.0005,21300,41200,5.9,0.03,290,13400,1.62,6.3,5.4,5.26,3560,18900,3.14,79,540,0.07,0.4,200,22600,3.05,36.6,0.0005,369,390,0.09,2.62,0.737,5.5,0.002,4.482,124,0.005,3.1,0.122,181,295300,63.18,7.793,7,0.006,5,959,4190,0.7,47.1,2.8,21.7
355,446072,7500000,240,"FIN","SE",10,51,"PLAIN",0.378,26700,54100,11.58,77.8,15.682,1.5,24.3,0.46,0.196,0.001,500,7900,1.11,0.199,0.006693,19.7,105,126,1,0.0005,121000,107700,15.41,0.07,430,12900,1.56,8.4,11.3,10.45,6760,9700,1.62,858,1310,0.17,5.8,40,12300,1.67,53.4,0.0005,1070,1040,0.24,8.94,2.305,5.4,0.002,4.342,340,1.33,6.4,2.26,131,256400,54.87,14.394,5.1,0.221,15,1130,6110,1.02,102,4.1,106
356,659679,7510000,220,"RUS","NW",37,1,"RIDGE",0.066,34400,71000,15.2,1.2,0.283,1.5,25.6,0.45,0.09,0.001,1720,20900,2.93,0.05,0.005118,5,51.4,14.2,0.63,0.0005,23000,32100,4.59,0.03,320,9700,1.17,6,17,11.48,2620,8600,1.44,88.2,380,0.05,0.3,140,23800,3.22,16.3,0.0005,716,610,0.14,3.5,1,5.2,0.002,2.925,206,0.012,3,0.189,151,269800,57.73,7.653,7.8,0.008,4,1020,2390,0.4,43.8,3.3,29.7
357,809293,7630000,280,"RUS","N",24,20,"PLAIN",0.023,21200,68400,14.64,1.41,0.47,1.5,21.7,0.19,0.046,0.001,660,21100,2.96,0.02,0.006307,4.4,50.3,8.6,0.77,0.0005,29700,34800,4.98,0.03,880,9200,1.11,8.5,8.4,8.34,2390,8200,1.36,56.7,300,0.04,0.6,80,25900,3.5,17.3,0.004935,331,300,0.07,2.91,0.57,5.1,0.002,3.091,244,0.011,2.5,0.423,113,291000,62.27,14.067,4.3,0.005,7,883,2330,0.39,55.7,1.8,19.2
358,696271,7530000,330,"RUS","SW",17,1,"LOWMO",0.054,23700,69500,14.89,1.1,0.485,1.5,40.9,0.23,0.022,0.001,720,21000,2.95,0.038,0.003092,5.1,32,9.7,0.61,0.0005,18900,28900,4.14,0.03,560,10600,1.28,5,12.2,8.62,2170,7100,1.19,78.1,300,0.04,0.3,80,23900,3.23,16.6,0.001803,305,300,0.07,2.43,0.839,5.3,0.002,3.051,167,0.005,2.3,0.177,141,289400,61.92,8.323,3,0.0015,4,1020,2630,0.44,31.6,1.8,27.9
362,394150,7800000,130,"NOR","NW",25,51,"LOWMO",0.012,17400,47900,10.26,0.68,0.399,1.5,22.2,0.26,0.038,0.001,1190,11300,1.59,0.015,0.005652,6.1,120,8.6,1.22,0.0005,42400,46700,6.69,0.03,810,11000,1.33,10.5,5.5,7.42,4220,10300,1.71,81,230,0.03,0.6,120,15300,2.07,20.2,0.001018,306,260,0.06,2.54,0.871,5.1,0.002,4.42,273,0.005,3.3,0.321,234,316100,67.65,17.488,6.6,0.009,9,1390,3590,0.6,53.8,4.2,11.5
363,699335,7490000,200,"RUS","SW",20,1,"RIDGE",0.016,8140,65800,14.09,0.38,0.308,1.5,22.8,0.13,0.042,0.001,1860,27300,3.83,0.02,0.001,4,21.9,11.1,0.51,0.0005,9680,24100,3.45,0.03,580,9100,1.1,3.6,12.5,2.35,2310,9200,1.53,76.1,380,0.05,0.4,150,28700,3.88,15,0.004443,295,260,0.06,1.58,0.407,5.4,0.002,3.268,53,0.005,1.7,0.044,135,315700,67.55,8.134,4.7,0.004,1.5,698,1970,0.33,20.1,1.8,21
364,393244,7410000,130,"FIN","SW",19,7,"PLAIN",0.021,16700,68200,14.6,2.27,0.317,1.5,30.1,0.39,0.022,0.001,1780,15300,2.15,0.018,0.010395,4.2,31.9,4.7,0.69,0.0005,27100,31700,4.54,0.03,450,23800,2.87,13.8,6.7,5.57,2630,6200,1.04,81.4,300,0.04,0.4,150,26300,3.55,8.4,0.0005,855,820,0.19,3.02,0.723,5.4,0.002,4.191,216,0.021,3.1,0.124,168,298200,63.82,16.207,8,0.004,9,1200,3530,0.59,53.3,4.2,19.4
365,511100,7840000,170,"NOR","E",15,10,"LOWMO",0.023,28700,69400,14.86,1.87,2.876,1.5,41.7,0.78,0.121,0.001,1330,6800,0.96,0.022,0.00569,10.1,28.5,19.7,1.02,0.0005,43700,48400,6.93,0.03,2620,19000,2.29,16.9,19.9,19.03,6620,7200,1.21,114,770,0.1,0.6,90,12200,1.65,20.3,0.0005,625,650,0.15,8.37,0.1,5.1,0.002,4.784,319,0.018,3.1,0.537,174,242700,51.94,7.867,9.2,0.013,12,1730,4910,0.82,35,9.8,76.4
366,764494,7650000,190,"RUS","FLAT",20,20,"RIDGE",0.026,30100,69800,14.94,1.14,0.357,1.5,16.6,0.35,0.016,0.001,1290,20500,2.88,0.02,0.00634,3.7,43.5,7.9,0.99,0.0005,26000,34900,4.99,0.03,400,8900,1.08,10.6,4.6,15.63,2010,8000,1.34,54,380,0.05,0.6,190,21500,2.91,12.4,0.004882,405,340,0.08,2.31,0.524,5.2,0.002,3.051,388,0.005,3.4,0.549,162,259400,55.51,15.414,5.1,0.006,7,770,2450,0.41,41.5,4,14.2
367,734891,7580000,170,"RUS","FLAT",14,20,"PLAIN",0.025,22000,73000,15.62,1.04,0.306,1.5,62.1,0.23,0.015,0.001,2070,29100,4.08,0.025,0.004232,10.6,65,35.2,1.27,0.0005,25700,43400,6.21,0.03,1830,10100,1.22,11.2,16.9,5.76,7250,17000,2.82,138,540,0.07,0.3,250,23300,3.15,41.2,0.0005,452,480,0.11,2.22,0.648,5.1,0.002,5.513,221,0.005,2.8,0.163,99,289700,61.99,54.975,10.6,0.013,12,1400,3350,0.56,52.5,2.8,38
368,463695,7600000,309,"FIN","S",12,32,"FLAT",0.032,29300,70700,15.13,2.16,1.857,1.5,77.5,0.35,0.04,0.001,2380,21400,3,0.024,0.00297,11.3,61.2,33,0.72,0.0005,33400,52000,7.44,0.03,1270,13900,1.68,17.9,9.4,7.6,5970,15300,2.55,211,690,0.09,0.7,220,15900,2.15,31.7,0.0005,343,430,0.1,5.47,1.206,5.1,0.002,6.014,146,0.011,5.1,0.15,118,273100,58.44,10.911,10.7,0.017,8,1490,4430,0.74,67.4,6.2,48.4
369,474428,7810000,200,"NOR","FLAT",12,10,"LOWMO",0.009,11700,48700,10.43,3.78,0.534,1.5,19.8,0.18,0.11,0.001,320,1700,0.25,0.009,0.004099,7.4,25.8,10.7,1.13,0.0005,41200,39800,5.7,0.03,940,19200,2.32,5.4,7.9,4.19,4610,8000,1.34,268,380,0.05,0.5,30,7800,1.06,15.5,0.0005,281,210,0.05,5.39,0.468,4.7,0.002,5.284,62,0.107,1.5,0.096,147,341700,73.12,15.709,4.5,0.018,9,1410,4190,0.7,25.6,4,34.9
370,494352,7510000,200,"FIN","FLAT",14,51,"FLAT",0.023,8920,49200,10.53,1.76,0.718,1.5,12.9,0.15,0.028,0.001,1390,26000,3.64,0.013,0.0052,10.3,144,16.7,1.3,0.0005,40000,63500,9.08,0.03,300,9600,1.16,9.8,2.5,4.59,4020,21000,3.49,97.2,770,0.1,0.5,120,19200,2.59,31.4,0.007064,210,210,0.05,2.1,0.998,4.9,0.002,3.078,86,0.021,3,0.094,126,293600,62.83,11.277,4.5,0.022,6,1280,7670,1.28,102,4.5,11.3
371,685401,7680000,195,"RUS","FLAT",26,21,"RIDGE",0.031,23000,66900,14.32,0.7,0.291,1.5,16.7,0.25,0.027,0.001,1630,16100,2.26,0.014,0.005172,2.8,30.7,4.1,0.76,0.0005,21900,33600,4.81,0.03,360,17500,2.11,22.1,4.7,12.24,1650,6900,1.15,57.8,380,0.05,0.4,130,19800,2.68,6.3,0.0005,657,610,0.14,4.46,0.246,5,0.002,2.177,276,0.005,3,0.451,134,278200,59.53,10.379,4.8,0.01,13,683,3050,0.51,37.3,6,14.7
372,773113,7570000,200,"RUS","SW",18,20,"SLOPE",0.015,18500,69700,14.92,0.45,0.28,1.5,33.9,0.23,0.018,0.001,1860,24700,3.46,0.03,0.006422,6.8,32.5,11.4,0.83,0.0005,14500,28300,4.05,0.03,690,10600,1.28,8,8.3,5.26,2950,9500,1.59,112,460,0.06,0.1,290,25000,3.37,20.7,0.0000016,278,300,0.07,2.14,0.845,5.2,0.002,4.317,149,0.005,2.5,0.099,144,302800,64.8,20.829,14.6,0.011,4,814,2330,0.39,29.8,2.3,27
376,853146,7420000,100,"RUS","NW",26,7,"PLAIN",0.048,31100,71200,15.24,1.29,0.582,1.5,53.7,0.58,0.057,0.001,2150,22200,3.12,0.032,0.005697,7.6,57.7,11.6,0.66,0.0005,26800,40200,5.76,0.03,730,12600,1.52,4.9,14.1,8.44,3100,10300,1.71,114,460,0.06,0.6,230,22400,3.03,23.7,0.0005,251,260,0.06,3.47,1.27,5.5,0.002,4.621,266,0.011,3.4,0.133,185,280600,60.05,8.83,11.4,0.006,5,1330,3410,0.57,36.3,4.7,28.7
377,557776,7430000,280,"FIN","FLAT",15,7,"FLAT",0.022,27000,58000,12.41,3.35,0.681,1.5,19.9,0.4,0.043,0.001,1030,18700,2.62,0.018,0.006262,6.4,167,7.6,0.99,0.0005,33100,44400,6.35,0.03,100,8400,1.02,7.4,7.4,13.7,3950,17300,2.88,60,380,0.05,0.5,100,20900,2.83,41.8,0.003191,338,390,0.09,2.62,0.997,5.2,0.002,5.269,235,0.015,3.6,0.21,168,266800,57.1,5.038,3.6,0.009,6,893,4550,0.76,67.5,4.3,19.9
378,854972,7520000,210,"RUS","N",12,6,"HIMO",0.031,40200,73100,15.64,3.58,0.638,1.5,80.7,1.09,0.038,0.001,1660,17800,2.5,0.042,0.013402,7.5,74.3,7.7,0.87,0.0005,22300,43900,6.29,0.03,580,20500,2.48,36.3,10.5,11.73,2640,9100,1.52,498,1310,0.17,0.6,660,27700,3.74,40.3,0.0005,460,960,0.22,6.26,0.426,5.2,0.002,3.669,321,0.041,2.2,0.169,185,249400,53.36,18.767,147,0.011,16,1260,5870,0.98,36.9,12.4,90.4
380,631390,7550000,160,"RUS","S",25,1,"RIDGE",0.006,11600,56900,12.18,0.42,0.309,1.5,19.5,0.12,0.02,0.001,660,17700,2.48,0.019,0.001,3.6,28.5,6.1,0.43,0.0005,12700,26500,3.8,0.03,530,9000,1.09,3.8,4.3,2.93,1640,10900,1.82,69.1,380,0.05,0.3,60,21800,2.94,12.1,0.0005,244,210,0.05,2.38,0.546,5.3,0.002,2.578,65,0.005,1.1,0.061,415,333900,71.45,6.044,3.1,0.012,3,539,1610,0.27,23.6,1.2,17.3
382,677234,7500000,180,"RUS","SW",18,1,"SLOPE",0.022,13200,63700,13.63,0.68,0.713,1.5,35.1,0.28,0.062,0.001,1830,23200,3.26,0.023,0.003175,7.4,40.5,11.2,0.42,0.0005,18100,26500,3.79,0.03,870,9800,1.19,6.6,15.5,3.03,4000,10100,1.69,103,380,0.05,0.4,110,27500,3.71,26.2,0.0005,736,560,0.13,1.76,0.477,5.6,0.002,3.676,68,0.005,2.1,0.062,242,319400,68.34,10.3,9.6,0.011,4,902,2090,0.35,34.4,2.2,29.2
384,506550,7790000,300,"NOR","FLAT",29,10,"PLAIN",0.015,14500,61800,13.24,2.35,0.734,1.5,27.9,0.48,0.098,0.001,980,6400,0.9,0.04,0.003255,8.7,27.8,16.9,0.72,0.0005,29400,33900,4.85,0.03,700,23400,2.83,16,14.9,7.1,5510,10400,1.73,260,380,0.05,0.5,60,13200,1.79,19.4,0.0005,575,480,0.11,10.5,0.777,5.2,0.002,4.711,161,0.036,2.3,0.235,142,309600,66.24,3.386,5.2,0.031,7,358,3170,0.53,29.1,6,41.7
386,693438,7430000,140,"RUS","S",28,1,"SLOPE",0.064,22500,72200,15.45,2.02,0.447,1.5,64.1,0.31,0.044,0.001,2510,23700,3.33,0.018,0.003874,9,54.3,15,0.91,0.0005,24700,33900,4.85,0.03,1410,13500,1.63,8.2,20.7,5.57,6110,12900,2.15,144,380,0.05,0.5,250,25500,3.45,26.9,0.0005,490,480,0.11,3.12,0.844,5.5,0.002,4.28,106,0.066,3.3,0.091,140,288300,61.69,18.77,15.6,0.008,5,1440,3350,0.56,52.2,2.3,36.8
387,643621,7590000,140,"RUS","SW",27,32,"RIDGE",0.024,19200,67400,14.43,0.54,1.601,1.5,29.6,0.24,0.017,0.001,1360,28800,4.04,0.018,0.005407,9.7,69.2,25.7,0.78,0.0005,31500,63300,9.06,0.03,600,9500,1.15,8,7.7,6.41,4160,23100,3.84,109,770,0.1,0.6,180,18900,2.55,29.1,0.00239,343,390,0.09,2.03,0.98,5.7,0.002,3.712,274,0.005,3.3,0.144,246,270300,57.85,18.339,4.6,0.012,6,1020,4430,0.74,51.8,4,27.8
388,661908,7530000,180,"RUS","NE",18,1,"RIDGE",0.01,14500,63100,13.52,0.47,1.342,1.5,12.6,0.21,0.031,0.001,910,17700,2.49,0.023,0.002664,2.7,18.1,4.5,0.43,0.0005,9080,16400,2.35,0.03,390,15900,1.92,3.2,6.8,3.83,1120,5200,0.87,108,300,0.04,0.3,80,25400,3.43,8.6,0.0005,428,340,0.08,3.01,0.468,5.2,0.002,3.601,94,0.005,1.1,0.058,339,328300,70.24,5.765,3.5,0.006,3,450,1130,0.19,18.4,1.3,21.4
391,606107,7470000,310,"FIN","NE",18,1,"PLAIN",0.036,38800,75300,16.12,2.14,0.755,1.5,71.7,0.52,0.14,0.006384,840,16800,2.36,0.023,0.005194,9.2,59.1,8.6,0.6,0.0005,30800,34600,4.95,0.03,1590,12200,1.48,10.2,28.8,8.79,5480,9800,1.63,192,380,0.05,0.4,100,22500,3.04,27.8,0.0005,1090,910,0.21,5.13,1.019,5.2,0.002,5.248,241,0.029,3.7,0.198,155,279300,59.77,11.108,6.7,0.014,8,1370,3230,0.54,52,2.7,52
392,749081,7710000,110,"RUS","NW",26,4,"RIDGE",0.007,11200,66400,14.22,0.75,0.605,1.5,18.2,0.18,0.028,0.001,1410,20800,2.92,0.02,0.003701,3.5,23.6,7.9,0.8,0.0005,14000,25300,3.62,0.03,600,11400,1.38,10.5,6.6,5.15,1900,6900,1.15,58.8,380,0.05,0.3,120,28700,3.87,10.5,0.0005,429,430,0.1,2.39,0.739,5.1,0.002,2.941,131,0.005,1.7,0.245,175,305900,65.46,15.239,5.4,0.008,5,660,2210,0.37,26.7,2.9,15.6
393,442462,7760000,380,"NOR","FLAT",31,31,"HIMO",0.017,9560,56000,11.99,0.73,0.744,1.5,23.4,0.12,0.025,0.001,2020,33000,4.63,0.012,0.004266,12,102,20.8,0.6,0.0005,31900,56400,8.07,0.03,1030,8800,1.06,4.7,7.1,2.79,6950,28600,4.75,177,850,0.11,0.5,200,24600,3.32,32.1,0.0005,292,300,0.07,1.73,2.16,5.1,0.002,4.386,110,0.005,2.3,0.106,128,289900,62.04,5.888,5.7,0.014,5,1600,4250,0.71,73,2.3,21.3
394,833075,7690000,220,"RUS","FLAT",40,4,"RIDGE",0.006,8090,62000,13.28,0.41,0.211,1.5,7.1,0.12,0.025,0.001,1010,15400,2.16,0.016,0.005775,1.9,10.4,1.7,1.11,0.0005,12300,16900,2.42,0.03,280,16500,1.99,14.4,2.5,5.69,950,2700,0.45,43.2,230,0.03,0.3,60,30300,4.09,3,0.002402,313,300,0.07,3.37,0.341,5.1,0.002,1.767,124,0.005,1.1,0.207,171,320800,68.65,5.079,8.5,0.008,9,663,1970,0.33,25.6,3.2,10.5
395,650230,7490000,285,"RUS","E",23,1,"SLOPE",0.029,21800,63000,13.49,1.25,0.442,1.5,43.1,0.25,0.094,0.001,740,16500,2.32,0.03,0.004774,6.1,37.1,11.3,0.67,0.0005,21000,27300,3.91,0.07,1180,9200,1.11,6.5,19.1,12.03,3520,6900,1.15,84.8,300,0.04,0.4,70,21200,2.86,19.4,0.0005,275,340,0.08,3.17,0.86,5,0.002,2.312,220,0.012,2.3,0.266,128,290700,62.21,10.808,5.1,0.01,4,906,2270,0.38,34.5,1.9,31.9
396,493653,7680000,260,"FIN","NW",12,31,"PLAIN",0.02,36400,80000,17.13,0.86,0.923,1.5,48.7,0.37,0.014,0.001,2730,20700,2.91,0.032,0.00884,6.4,31.3,11.5,0.65,0.0005,19600,46000,6.58,0.03,530,11800,1.43,10.4,6.1,9.6,2400,12400,2.07,76.1,540,0.07,0.6,600,14800,2,22.1,0.0005,536,560,0.13,3.19,1.203,5.3,0.002,1.98,298,0.005,2.8,0.18,201,265400,56.79,13.615,12.1,0.016,6,752,3830,0.64,43.9,3.4,25.6
397,850935,7560000,170,"RUS","FLAT",28,20,"PLAIN",0.006,28300,71100,15.23,1.45,0.296,1.5,72.3,1.19,0.033,0.001,1350,16800,2.36,0.046,0.002629,6.1,42,6.5,0.79,0.0005,14000,29500,4.23,0.03,1030,23900,2.89,29.8,5.6,9.39,2210,6900,1.15,643,1160,0.15,0.8,950,29600,4,20.5,0.004069,375,480,0.11,3.77,0.786,5.2,0.002,2.359,196,0.016,1.3,0.169,153,275000,58.85,12.282,99.1,0.009,11,1010,4550,0.76,28,9.9,45.7
398,517343,7530000,255,"FIN","NW",29,51,"PLAIN",0.007,11100,53000,11.36,1.48,1.145,1.5,12.6,0.16,0.02,0.001,930,16600,2.33,0.015,0.003789,4.8,73.6,10.6,0.89,0.0005,19700,36800,5.27,0.03,400,12600,1.52,6.1,2.6,7.56,3050,13500,2.25,45,380,0.05,0.4,100,22700,3.07,16.4,0.002552,128,170,0.04,1.78,1.01,4.9,0.002,1.988,103,0.005,2.6,0.115,133,304600,65.18,10.14,2.8,0.008,4,734,3950,0.66,45.1,2.4,9.5
399,584700,7650000,150,"RUS","FLAT",11,20,"PLAIN",0.031,29100,66100,14.16,0.95,0.672,1.5,24.8,0.46,0.043,0.001,1090,16700,2.34,0.013,0.008014,4.9,39.9,22.1,0.46,0.0005,31500,44600,6.39,0.03,450,13600,1.64,14,8.1,10.15,2400,9600,1.6,82,460,0.06,0.7,150,17100,2.31,12.4,0.0005,541,520,0.12,3.6,1.132,5.1,0.002,2.427,275,0.012,4.1,0.257,135,276600,59.19,18.149,4.8,0.016,12,1090,3290,0.55,48.8,4.8,24.8
400,551629,7710000,180,"FIN","SE",16,20,"PLAIN",0.024,17100,62800,13.44,0.51,1.161,1.5,10.4,0.29,0.062,0.001,1150,15700,2.2,0.017,0.004785,2.8,20.4,10.4,0.6,0.0005,22400,36500,5.22,0.03,270,18900,2.28,12.1,4.9,5.39,1420,6600,1.11,82.8,380,0.05,0.6,130,21500,2.91,5.6,0.0005,334,340,0.08,3.71,0.794,5.3,0.002,2.251,221,0.005,3.4,0.184,185,312800,66.93,7.714,3.3,0.007,11,1170,3170,0.53,34.6,5.8,16.5
401,791454,7640000,220,"RUS","SW",16,4,"RIDGE",0.018,16300,68000,14.56,0.99,0.603,1.5,11.6,0.12,0.026,0.001,890,21700,3.04,0.016,0.003473,2.4,31.2,4.2,0.98,0.0005,15900,26500,3.79,0.03,270,9600,1.16,5.9,2.6,7.05,1030,7100,1.19,33.8,380,0.05,0.3,110,25100,3.39,7.4,0.003473,333,340,0.08,2.3,0.559,5.2,0.002,2.339,182,0.005,1.6,0.244,148,302600,64.75,11.222,5.2,0.011,4,478,1670,0.28,28.4,1.8,9.1
406,514194,7480000,270,"FIN","NE",20,51,"PLAIN",0.008,15900,58200,12.46,1.48,0.391,1.5,22.7,0.2,0.041,0.001,1650,22400,3.14,0.015,0.002743,7.7,89.6,14.8,0.82,0.0005,24500,44400,6.35,0.03,460,10800,1.31,7.1,5.7,7.12,4640,18000,3,86.2,460,0.06,0.4,150,20900,2.83,29,0.004899,170,210,0.05,2.09,1.418,5.9,0.002,2.034,96,0.02,3.2,0.132,137,290900,62.24,6.303,5.9,0.008,5,1050,4610,0.77,56.4,3.1,15.8
407,735148,7540000,190,"RUS","SW",5,6,"HIMO",0.076,57000,78700,16.85,2.51,0.609,1.5,118,0.31,0.067,0.001,6080,25600,3.59,0.058,0.012593,18.1,76.9,77.4,3.21,0.001602,42500,53600,7.67,0.06,1600,9100,1.1,10.6,24.8,23.85,10400,18200,3.03,299,610,0.08,0.8,870,13000,1.76,70.1,0.001003,215,300,0.07,6.37,6.763,4.7,0.002,2.344,318,0.02,5.4,0.294,176,192200,41.14,41.858,22.3,0.038,9,2100,4490,0.75,83.4,5.1,79.7
408,482101,7850000,50,"NOR","SW",34,10,"DEEPVAL",0.057,16700,74900,16.04,8.06,1.575,1.5,44.5,0.27,0.134,0.001,210,1900,0.27,0.011,0.009923,7.3,20.5,11.7,1.33,0.0005,44200,46700,6.68,0.03,2980,33700,4.07,14.9,5.7,8.69,2740,5500,0.92,204,380,0.05,0.9,60,13700,1.86,12.4,0.0005,193,210,0.05,16.9,0.329,4.9,0.002,1.62,185,0.092,1.6,0.257,125,279900,59.89,11.416,6.2,0.016,12,2390,5030,0.84,28.8,5.3,35.2
409,406188,7600000,355,"FIN","NE",17,1,"PLAIN",0.015,16600,63700,13.65,0.47,0.432,1.5,14.8,0.29,0.045,0.001,1420,19200,2.69,0.021,0.002791,3.8,41.5,5.2,0.47,0.0005,18500,29300,4.19,0.03,540,18100,2.19,13.5,8.4,6.13,2570,8900,1.49,81,380,0.05,0.3,140,29500,3.98,12.3,0.0005,374,390,0.09,2.89,0.481,5.2,0.002,1.816,139,0.005,2.4,0.169,108,303100,64.86,6.131,7.1,0.006,8,916,3170,0.53,34.7,3.8,18.8
410,553128,7440000,280,"FIN","FLAT",18,51,"FLAT",0.057,21900,52400,11.22,4.97,1.327,1.5,39,0.3,0.073,0.001,1490,18300,2.57,0.019,0.003083,11.2,230,28,1.07,0.0005,41800,52100,7.45,0.03,1020,9700,1.17,6.9,11.4,10.46,7310,19200,3.2,133,610,0.08,1.2,140,17300,2.34,68.4,0.002425,309,340,0.08,2.25,1.06,5.2,0.002,2.874,209,0.084,4.4,0.384,128,278600,59.61,10.915,4.8,0.026,6,1200,4850,0.81,85,3.5,32.5
411,625776,7640000,230,"RUS","S",17,32,"RIDGE",0.021,16900,68000,14.56,0.63,1.711,1.5,55.5,0.21,0.009,0.001,1210,20700,2.9,0.033,0.003931,5.7,30.3,7,0.93,0.0005,24000,47400,6.79,0.03,510,9300,1.13,15.8,4.8,8.72,2800,12600,2.09,100,610,0.08,0.3,140,18000,2.43,10.2,0.0005,487,520,0.12,2.56,0.749,5.1,0.002,1.638,141,0.005,2.7,0.129,134,281500,60.24,10.117,7.3,0.009,7,1130,4730,0.79,56.9,4.1,30.9
412,592915,7790000,250,"NOR","S",18,9,"SLOPE",0.023,20600,56300,12.06,2.62,0.93,3,48.1,0.71,0.116,0.001,580,5700,0.8,0.036,0.002741,6.9,32,9.9,0.98,0.0005,42800,49300,7.05,0.03,1630,20000,2.41,11.7,27.8,8.23,4730,8500,1.42,165,300,0.04,0.5,60,12700,1.72,18.6,0.002165,1150,1260,0.29,5.62,1.191,5.3,0.002,2.774,158,0.047,2.8,0.28,157,297800,63.73,16.129,4.7,0.04,8,216,3890,0.65,34.3,4.5,47.2
413,616800,7820000,30,"NOR","FLAT",33,9,"DEEPVAL",0.024,25500,64600,13.84,8.06,0.731,8,24.3,0.81,0.212,0.001,180,500,0.08,0.031,0.008381,11.9,29.5,24.9,1.45,0.0005,54500,54100,7.74,0.03,2990,33100,3.99,23.7,36.7,8.72,12800,18300,3.05,209,230,0.03,0.9,40,3700,0.5,24.7,0.0005,660,610,0.14,10.2,1.231,5,0.002,1.572,175,0.271,3.8,0.296,158,283800,60.74,18.698,3.6,0.016,12,120,4070,0.68,34.5,6.5,86.7
414,640450,7680000,140,"RUS","FLAT",28,51,"PLAIN",0.028,6620,56200,12.04,3.75,0.581,1.5,86.1,0.09,0.027,0.001,610,20400,2.86,0.021,0.001,5.9,16.8,4.8,0.86,0.0005,28800,41100,5.89,0.06,100,9500,1.15,5.8,2.8,5.34,1210,8400,1.4,1450,1230,0.16,2.6,80,20400,2.76,5.3,0.0005,251,260,0.06,4.09,0.454,5,0.002,1.281,117,0.029,1,0.126,135,315800,67.58,24.166,4.4,0.013,6,801,2990,0.5,43.4,1.1,13.3
415,753970,7530000,170,"RUS","SE",25,52,"RIDGE",0.016,13100,62000,13.27,0.87,0.552,1.5,47.3,0.2,0.035,0.001,2940,30800,4.32,0.018,0.002582,8.5,43.7,24.8,0.77,0.0005,24200,47600,6.81,0.03,1430,10600,1.28,7.5,10,5.88,5470,17400,2.89,194,770,0.1,0.6,240,22900,3.09,21.5,0.0005,440,520,0.12,2.55,1.546,5.2,0.002,0.665,106,0.005,2.3,0.101,111,286900,61.4,14.849,9.1,0.016,4,1450,4070,0.68,46.6,3.7,30
416,673124,7680000,260,"RUS","N",20,21,"RIDGE",0.015,27400,70300,15.06,0.5,0.288,1.5,15.9,0.35,0.031,0.001,1480,23800,3.34,0.018,0.004093,2.7,29.9,5.9,0.87,0.0005,22600,44600,6.39,0.07,210,10000,1.21,15.5,3.1,12.34,1340,12400,2.07,66.3,540,0.07,0.6,120,20500,2.77,5.4,0.001584,652,610,0.14,4.57,0.943,5.1,0.002,1.292,301,0.005,2.9,0.387,105,259000,55.43,14.8,4.1,0.011,8,689,4550,0.76,43.1,5.4,11.9
